Index,Title,Model,Price,Distance,Fuel Type,Engine,Transmission Type,City
0,Hyundai Tucson  2020 AWD A/T Ultimate for Sale,2020,PKR 70.35 lacs,"66,000 km",Petrol,2000 cc,Automatic,Lahore
1,Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,2021,PKR 63.7 lacs,"24,000 km",Petrol,1800 cc,Automatic,Lahore
2,Toyota Corolla  2020 GLi Automatic 1.3 VVTi for Sale,2020,PKR 46.5 lacs,"67,000 km",Petrol,1300 cc,Automatic,Lahore
3,Honda Civic Rebirth 2015 VTi Prosmatec 1.8 i-VTEC for Sale,2015,PKR 35.5 lacs,"90,000 km",Petrol,1800 cc,Automatic,Lahore
4,KIA Sportage  2023 FWD for Sale,2023,PKR 75.95 lacs,"36,000 km",Petrol,2000 cc,Automatic,Lahore
5,Honda Freed  2018  for Sale,2018,PKR 55.5 lacs,"36,000 km",Petrol,1500 cc,Automatic,Lahore
6,Suzuki Alto  2009 VXR for Sale,2009,PKR 12 lacs,"50,000 km",Petrol,1000 cc,Manual,Lahore
7,Toyota Corolla  2020 Altis Grande CVT-i 1.8 for Sale,2020,PKR 59 lacs,"55,000 km",Petrol,1800 cc,Automatic,Lahore
8,Suzuki Wagon R  2023  for Sale,2023,PKR 38.75 lacs,"7,000 km",Hybrid,660 cc,Automatic,Lahore
9,Toyota C-HR  2019 G-LED for Sale,2019,PKR 88.75 lacs,"62,000 km",Hybrid,1800 cc,Automatic,Lahore
10,Toyota Yaris  2022 ATIV X CVT 1.5 for Sale,2022,PKR 49 lacs,"43,000 km",Petrol,1500 cc,Automatic,Lahore
11,Toyota Yaris  2021  for Sale,2021,PKR 45.95 lacs,"41,949 km",Petrol,1000 cc,Automatic,Lahore
12,Toyota Corolla  2011 Altis SR Cruisetronic 1.8 for Sale,2011,PKR 29.5 lacs,"158,000 km",Petrol,1800 cc,Automatic,Lahore
13,Honda City  2018  for Sale,2018,PKR 26.55 lacs,"125,000 km",Petrol,1300 cc,Manual,Lahore
14,Suzuki Mehran  2012 VX for Sale,2012,PKR 8.5 lacs,"50,300 km",Petrol,800 cc,Manual,Lahore
15,Suzuki Swift  2014 DLX 1.3 for Sale,2014,PKR 21.5 lacs,"208,000 km",Petrol,1300 cc,Manual,Lahore
16,Toyota Fortuner  2019 2.8 Sigma 4 for Sale,2019,PKR 1.15 crore,"191,331 km",Diesel,2800 cc,Automatic,Lahore
17,Toyota Vitz  2014 F Limited 1.0 for Sale,2014,PKR 27.5 lacs,"139,000 km",Petrol,1000 cc,Automatic,Lahore
18,Suzuki Swift  2011 DLX 1.3 for Sale,2011,PKR 14.8 lacs,"200,000 km",Petrol,1300 cc,Manual,Lahore
19,Hyundai Sonata  2023 2.0 for Sale,2023,PKR 88.5 lacs,"18,900 km",Petrol,2000 cc,Automatic,Lahore
20,Hyundai Tucson  2023 FWD A/T GLS Sport for Sale,2023,PKR 80 lacs,"25,000 km",Petrol,2000 cc,Automatic,Lahore
21,Haval Jolion  2024 HEV for Sale,2024,PKR 97 lacs,75 km,Hybrid,1500 cc,Automatic,Lahore
22,Daihatsu Copen  2019  for Sale,2019,PKR 37 lacs,"22,000 km",Petrol,660 cc,Automatic,Lahore
23,Toyota Prado  2020 TX L Package 2.7 for Sale,2020,PKR 3.3 crore,"33,000 km",Petrol,2700 cc,Automatic,Lahore
